SiteID,DO.sat,Residence_time,Alk.mg.L,pH,NOx.ug.N.L,Elevation,b.f.max,SedimentCN,DIN.ug.N.L,Conductivity,CO2.uM,CH4.uM,delI18O,Salinity_code,Landuse,CEC,KSAT
22B,54.5,0.702428983,269.48,7.62,99.6,588.7,0.003218446,10.04216627,739.6,1647,162.1230773,2.473528218,-13.28821391,M,Crop,22,4.67
68,42.9,1.200360968,108.09,9.1,536.54,585,0.000974368,11.02322219,556.54,230.2,3.967019312,18.5002604,-10.99572295,W,Crop,40,0.34
32A,45.7,1.008147134,292.81,9.04,25.31,NA,0.013369213,10.56330369,125.31,2982,7.57384298,1.729506187,-9.451943803,NA,Livestock,NA,NA
32B,17.6,0.521947916,423.09,8.27,580.97,624,0.000404405,11.59259988,990.97,2152,78.64316849,6.828045639,-12.7175622,M,Pasture,24,4
32C,35.2,1.714752389,290.9,9,19.36,608,0.005916891,9.101652614,129.36,3460,6.827955308,1.993239635,-8.96213594,M,Livestock,24,4
8H,163.9,0.08176136,219.72,8.64,265.04,533.7,NA,13.29148094,305.04,838,70.29230336,11.00472709,-11.57183608,N,Livestock,21,6.8
8G,117.8,0.33157732,248.86,8.91,63.74,529,0.005782882,11.21806751,93.74,1092,13.12713782,2.214341972,-11.76992458,N,Livestock,21,6.8
8D,8.9,0.25200339,290.9,7.81,1757.96,538.9,0.000430547,11.14951086,7687.96,793,135.4773043,21.52158322,-16.94280595,N,Livestock,29,2.18
8C,2.3,1.520157441,239.62,7.68,2637.6,549,0.027143422,10.76509272,6917.6,1033,213.1893592,54.44844983,-11.31353533,W,Livestock,26,5.36
8A,52.4,0.562241809,185.12,7.81,33.23,556,0.003260296,9.268612427,83.23,799,110.5483028,2.409468855,-13.93358784,N,Livestock,23,4.47
8B,100.5,0.649883925,245.54,8.24,347.72,550,0.026896558,11.75217706,447.72,880,28.45822035,4.212577733,-13.7853621,W,Livestock,26,5.36
69B,74.9,0.754636386,136.36,8.63,84.18,973,0.000368428,10.68087896,104.18,613,13.6582846,1.329194815,-16.10683678,N,Livestock,11,23.02
69A,87.4,0.577795472,164.93,8.71,43.79,997,0.000351038,11.18807581,213.79,510,14.94366319,5.974703613,-17.00879071,M,Livestock,25,3.1
69C,79.1,0.664137235,158.57,9.19,17.8,966,0.000699887,9.064418446,127.8,382.5,5.372215435,4.099561082,-18.01433619,W,Livestock,25,3.1
26C,116.8,0.49445855,146.98,8.71,154.71,966,0.015563666,9.348548966,224.71,576,46.78783087,2.042703666,-17.97539452,M,Pasture,25,3.1
26B,72.4,0.567106438,194.88,8.77,43.76,964,0.00272833,10.96832766,303.76,713,9.598642728,3.598702884,-15.74587359,M,Pasture,25,3.1
26A,119.1,0.997320244,222.27,9.72,60.63,964,0.004251942,11.03537319,350.63,747,2.094871705,5.104977777,-15.05110851,M,Pasture,25,3.1
24A,120,0.677004813,174.5,9.8,20.24,807.4,0.0018851,9.7637891,130.24,872,2.059370462,2.403268047,-15.4990972,M,Livestock,25,3.1
24B,49.7,0.643844401,NA,8.91,NA,805,0.004304295,9.164984705,NA,217.1,8.78167006,22.97913993,-15.9505553,M,Livestock,25,3.1
70A,77.9,1.063750145,210.32,8.57,13.29,738,0.013610067,9.505086477,153.29,4386,13.92762421,0.488013597,-16.31718843,N,Livestock,11,31.1
70C,85,0.106260357,302.53,8.06,44.87,713.2,0.000614659,9.030018852,84.87,647,88.68499476,0.552524646,-19.69219841,N,Pasture,12,20.81
70B,59.6,0.728987466,491.44,8.83,170.8,707.5,0.016284467,10.04543885,270.8,1258,21.15187818,2.257138936,-14.58642889,N,Livestock,11,31.1
65,109,0.676773797,103,8.22,336.84,667,0.00756269,9.773761008,346.84,242.8,24.70791681,0.336639434,-14.38683856,W,Livestock,13,26.96
8E,98.7,0.232812834,NA,8.39,748.68,530,0.002938893,10.6038551,1028.68,3244,20.20277344,2.437392924,-11.68646753,N,Livestock,25,2.61
8F,40.3,NA,208.89,8.73,89.22,539,0.00037,12.27021087,119.22,792,12.06426799,5.306297156,-12.46128684,N,Livestock,29,2.18
36,344,0.304187647,253.96,9.21,83.7,539,0.026767256,11.68832672,243.7,2056,25.83654012,6.40134046,-12.62536511,W,Pasture,27,1.67
63B,118.6,1.166384616,275.91,9.51,375.36,488,0.006718405,10.54511123,565.36,521,3.218597413,1.153364086,-11.42101085,W,Livestock,15,26.96
63A,36.4,0.478395441,468.93,8.03,524.57,589,0.004964875,10.73351027,784.57,1756,134.4934837,2.318423852,-14.55031852,M,Livestock,22,4.67
64A,129,1.076740681,120.95,9.45,3.9,646,0.001066257,9.508573708,93.9,464.1,5.198154562,0.261780055,-16.73626858,W,Livestock,22,3.29
64C,94.8,1.095237028,245.84,8.86,45.02,661,0.003652015,9.282321088,85.02,722,13.17638584,0.520175178,-16.90424006,M,Livestock,21,1.45
64B,82.4,0.804694734,79.59,9.37,50.17,659,0.005903765,9.252297703,210.17,365.7,2.50542499,2.822336069,-16.41346562,W,Livestock,22,3.29
31A,174,1.440557988,611.85,8.41,NA,671,0.01236817,10.43176741,NA,13489,51.73984629,1.253710765,-12.92981207,W,Livestock,22,4.67
31B,30,0.869374752,484.7,8.07,1160,685.1,0.005878016,10.63798587,2790,3809,190.5996367,5.201538831,-13.32802127,W,Livestock,22,4.67
